address,area,balcony,cellar,city,contact_name,district,extra_costs,garden,immo_id,kitchen,lat,lng,media_count,price,private,rooms,sqm,title,url,zip_code
Arnulfstraße 150-152,,true,false,München,Team QUARTIER NEUHAUSEN,Neuhausen,,false,115676059,false,48.14702,11.53201,6,835000,false,3,78.24,Wohnglück in Neuhausen: Helle 3-Zimmer-Wohnung mit 2 Bädern und Süd-Loggia,https://www.immobilienscout24.de/expose/115676059,80634
,,true,true,München,Stephan Kunz,Schwabing-West,,false,115312017,false,,,11,849000,false,3,82,PROVISIONSFREI - Stilvoll modernisierte Wohnung in ruhiger und sonniger Lage,https://www.immobilienscout24.de/expose/115312017,80797
Hanauer Straße 6,,true,true,München,Beratung  und Verkauf,Moosach,,false,115762957,false,48.17379,11.52889,8,759900,false,3,76.55,***Ideal geschnitten*** Top-Balkonwohng mit 3 Zimmern und großer Wohnküche,https://www.immobilienscout24.de/expose/115762957,80992
Paul-Gerhardt-Allee 6-14,,true,true,München,Vertriebsteam PANDION Vertriebsgesellschaft mbH,Obermenzing,,false,115397646,false,48.14751,11.49416,12,653900,false,3,77.47,PANDION PENTA 2.BA - Familienfreundliche 3-Zimmer-Wohnung mit Wintergarten und 2 modernen Bädern,https://www.immobilienscout24.de/expose/115397646,81245
,,true,true,München,Claudia Varga,Schwabing,,false,115405622,false,,,16,730000,false,3,93,"Schwabing: 3-Zimmer-Wohnung im 5. OG, großzügig-hell-ruhig ",https://www.immobilienscout24.de/expose/115405622,80804
Ortlerstr. 11,,false,false,München,Thomas Bletschacher,Sendling-Westpark,,false,114850421,false,48.12084,11.53179,5,868000,false,3,88.31,Klasse 3-Zimmerwohnung,https://www.immobilienscout24.de/expose/114850421,81373
Hansastraße 181,,true,true,München,Markus Elsner,Sendling-Westpark,,false,115730291,false,48.11929,11.53474,12,773900,false,3,77.59,"Moderner Wohnkomfort, durchdacht geschnittener Grundriss! 3-Zi-Wohntraum in München Sendling!",https://www.immobilienscout24.de/expose/115730291,81373
Hansastraße 181,,true,true,München,Markus Elsner,Sendling-Westpark,,false,114308607,false,48.11929,11.53474,11,741900,false,3,71.24,"Perfekte 3-Zi. Wohnung für kleine Familie mit 2 Bädern, Loggia und Balkon!",https://www.immobilienscout24.de/expose/114308607,81373
Schleißheimer Straße 321,,true,false,München,Niederlassung München,Milbertshofen,,false,111893864,false,48.18615,11.56589,7,649000,false,2,72.33,Gemütliche 2-Zimmer-Wohnung mit sonnigem Südbalkon in gut angebundener Lage im Münchner Norden,https://www.immobilienscout24.de/expose/111893864,80809
Schleißheimer Straße 321,,true,false,München,Niederlassung München,Milbertshofen,,false,111893860,false,48.18615,11.56589,6,869000,false,3,82.75,Sonniger Balkon und hochwertige Ausstattung: moderne 3-Zimmer-Wohnung in Milbertshofen,https://www.immobilienscout24.de/expose/111893860,80809
Schleißheimer Straße 321,,true,false,München,Niederlassung München,Milbertshofen,,false,111893859,false,48.18615,11.56589,6,927000,false,3,84.25,Großer Balkon und moderne Ausstattung: geräumige 3-Zimmer-Wohnung in Milbertshofen,https://www.immobilienscout24.de/expose/111893859,80809
Schleißheimer Straße 321,,true,false,München,Niederlassung München,Milbertshofen,,false,111893839,false,48.18615,11.56589,6,947000,false,3,84.17,Gut angebundene Lage: moderne 3-Zimmer-Wohnung in Milbertshofen mit großem Balkon,https://www.immobilienscout24.de/expose/111893839,80809
Schleißheimer Straße 321,,false,false,München,Niederlassung München,Milbertshofen,,false,111893832,false,48.18615,11.56589,7,647000,false,2,70.18,Großzügige Dachterrasse in Südausrichtung: 2-Zimmer-Wohnung in zentrumsnaher Lage in Milbertshofen,https://www.immobilienscout24.de/expose/111893832,80809
Berduxstraße 30,,true,true,München,Frau Margarethe Haugg und Herrn Wolfgang Füchsl,Obermenzing,,false,112064195,false,48.15244,11.48124,11,544700,false,2,67.19,"Viel Platz in 2-Zimmer-Wohnung im 3. OG, großes Bad mit Fenster - Westbalkon in Pasing-Obermenzing",https://www.immobilienscout24.de/expose/112064195,81245
,,false,false,München,Jan Eike Wendt,Obermenzing,,false,115727414,false,,,14,520000,false,2,62.76,Traumhafte Balkonwohnung,https://www.immobilienscout24.de/expose/115727414,81245
Am Neudeck 10,,true,true,München,Birgit Demmel,Au,,false,115511976,false,48.12352,11.58346,8,934900,false,2,63.48,"HAUS MÜHLBACH - exklusive 2 Zi.-Whg. in der Au, Denkmal-AfA",https://www.immobilienscout24.de/expose/115511976,81541
Peter-Anders-Straße / Berduxstraße -,,true,false,München,,Obermenzing,,true,115673559,false,48.15303,11.4789,13,522900,false,2,65.91,"In Wohlfühlumgebung: Moderne 2-Zimmer-Wohnung mit elegantem, warmem Eichenparkett und Gartenterrasse",https://www.immobilienscout24.de/expose/115673559,81245
,,true,false,München,"Customer Support Projekt ""Hoch der Isar""",Haidhausen,,false,115207614,false,,,5,915000,false,2,60.74,Höchstes Niveau dank höchster Handwerkskunst! Lernen Sie ein erhabenes Wohnungs-Schmuckstück kennen,https://www.immobilienscout24.de/expose/115207614,81541
Berduxstraße 22,,true,false,München,Carsten Rittberg,Obermenzing,,false,115539904,false,48.15113,11.47842,8,622000,false,3,67.82,Familienfreundliche 3-Zi.-Eigentumswohnung mit Loggia und Gäste-WC,https://www.immobilienscout24.de/expose/115539904,81245
Regerstraße -,,true,false,München,Christina Drax,Haidhausen,,false,114669447,true,48.12089,11.58444,13,984000,false,3,83.41,"Durchdachte Grundrissgestaltung: 3-Zi.-Whg. mit Loggia und intelligenter, funktionaler Aufteilung",https://www.immobilienscout24.de/expose/114669447,81541
Baumbachstraße 5,,false,false,München,immomedia EASY Team,Obermenzing,,false,114831775,false,48.15,11.47592,7,949900,false,2.5,88.03,EASY Skylofts - die Sterne als Nachbar. Das Gefühl: grenzenlos.,https://www.immobilienscout24.de/expose/114831775,81245
Paul-Gerhardt-Allee 12,,true,true,München,Hanny Martinez,Obermenzing,,false,112580971,false,48.15022,11.4752,8,557900,false,2.5,61.66,"Sich geborgen fühlen. Durchdacht geplante 2,5-Zimmer-Wohnung in Pasing-Obermenzing",https://www.immobilienscout24.de/expose/112580971,81245
Hellabrunnerstraße 1,,true,true,München,Petros Theodosiadis,Untergiesing,,false,113811258,false,48.11235,11.56582,6,819000,false,2,78.38,Sehr gut aufgeteilte 2 Zimmer Wohnung mit Ost-Ausrichtung und Nähe zur Isar,https://www.immobilienscout24.de/expose/113811258,81543
Waldfriedhofstraße 26,,true,true,München,Franziska Jonzeck,Sendling-Westpark,,false,115525159,false,48.11342,11.51282,6,749000,false,3,78.94,Moderne 3-Zimmer-Gartenwohnung in bester Umgebung - völlig urban und doch herrlich grün,https://www.immobilienscout24.de/expose/115525159,81377
Kornwegerstraße 34,,true,true,München,Manuel Kirzinger,Hadern,,false,111260922,false,48.11677,11.49797,4,870000,false,2.5,106.9,Wunderschöne Neubau-Luxus-Erdgeschosswohnung mit Hobbyraum,https://www.immobilienscout24.de/expose/111260922,81375
Landsberger Straße 444,,true,true,München,,Pasing,,false,115310564,false,48.14562,11.47017,9,739000,false,2,66.48,Modernes Apartment im Dachgeschoss mit Südbalkon und allem vor der Haustür. Ideale Kapitalanlage.,https://www.immobilienscout24.de/expose/115310564,81241
